"Birthday: %s","Data de Nascimento: %s"
"Connect","Conectar"
"Connected as %s","Conectado como %s"
"Continue","Continuar"
"Customer My Account Facebook Connect","Customer My Account Facebook Connect"
"Customer My Account Google Connect","Customer My Account Google Connect"
"Customer My Account Twitter Connect","Customer My Account Twitter Connect"
"Disconnect","Desconectar"
"Email: %s","Email: %s"
"Facebook #: %s","Facebook #: %s"
"Facebook Connect process aborted.","Processo de conexão com o Facebook abortado."
"Facebook Connect","Facebook Connect"
"Female","Feminino"
"Gender: %s","Sexo: %s"
"Google #: %s","Google #: %s"
"Google Connect process aborted.","Processo de conexão com o Google abortado."
"Google Connect","Google Connect"
"HTTP error %d occurred while issuing request","O erro HTTP %d ocorreu ao enviar o pedido"
"Login","Entrar"
"Male","Masculino"
"No access token available","Nenhum token de acesso disponível"
"No refresh token, nothing to revoke","Nenhum token de atualização, nada a revogar"
"No refresh token, unable to refresh access token","Nenhum token de atualização, não foi possível atualizar o token de acesso"
"Register","Cadastrar"
"Required HTTP method is not supported","O método HTTP necessário não é suportado"
"Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store account credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href=""%s"">Edit Account Information</a>.","Como o Twitter não permite o acesso de terceiros ao seu endereço de e-mail, não fomos capazes de enviar suas credenciais da conta da loja. Para ser capaz de efetuar login usando as credenciais da conta de loja, será necessário atualizar o seu endereço de e-mail e senha na seção <a href=""%s"">Editar Informações da Conta</a>."
"Sorry, ""%s"" error occured. Please try again.","Desculpe, o erro ""%s"" ocorreu. Por favor, tente novamente."
"Sorry, could not retrieve your Facebook first name. Please try again.","Desculpe, não foi possível recuperar o seu primeiro nome no Facebook. Por favor, tente novamente."
"Sorry, could not retrieve your Facebook last name. Please try again.","Desculpe, não foi possível recuperar seu sobrenome no Facebook. Por favor, tente novamente."
"Sorry, could not retrieve your Google first name. Please try again.","Desculpe, não foi possível recuperar o seu primeiro nome no Facebook. Por favor, tente novamente."
"Sorry, could not retrieve your Google last name. Please try again.","Desculpe, não foi possível recuperar o seu sobrenome no Facebook. Por favor, tente novamente."
"Sorry, could not retrieve your Twitter last name. Please try again.","Desculpe, não foi possível recuperar seu sobrenome no Twitter. Por favor, tente novamente."
"Twitter #: %s","Twitter #: %s"
"Twitter Connect process aborted.","Processo de conexão com o Twitter abortado."
"Twitter Connect","Twitter Connect"
"Unable to proceeed without an access token","Não foi possível continuar sem um token de acesso"
"Unable to retrieve access code","Não foi possível recuperar o código de acesso"
"Unable to retrieve access token","Não foi possível recuperar token de acesso"
"Unable to retrieve request token","Não foi possível recuperar token de pedido"
"Unspecified OAuth error occurred","Ocorreu um erro OAuth não especificado"
"We have discovered you already have an account at our store. Your Facebook account is now connected to your store account.","Nós descobrimos que você já tem uma conta em nossa loja. Sua conta do Facebook agora está conectada à sua conta da loja."
"We have discovered you already have an account at our store. Your Google account is now connected to your store account.","Nós descobrimos que você já tem uma conta em nossa loja. Sua conta do Google agora está conectada à sua conta da loja."
"We have discovered you already have an account at our store. Your Twitter account is now connected to your store account.","Nós descobrimos que você já tem uma conta em nossa loja. Sua conta do Twitter agora está conectada à sua conta da loja."
"You can connect store account with your Facebook account so you could login easier in the future.","Você pode conectar sua conta de loja com sua conta do Facebook para que você possa efetuar login com mais facilidade no futuro."
"You can connect store account with your Google account so you could login easier in the future.","Você pode conectar sua conta de loja com sua conta do Google para que você possa efetuar login com mais facilidade no futuro."
"You can connect store account with your Twitter account so you could login easier in the future.","Você pode conectar sua conta de loja com sua conta do Twitter para que você possa efetuar login com mais facilidade no futuro."
"You can continue with checkout using your <strong>Facebook</strong> account.","Você pode continuar com o checkout usando sua conta do <strong>Facebook</strong>."
"You can continue with checkout using your <strong>Google</strong> account.","Você pode continuar com o checkout usando sua conta do <strong>Google</strong>."
"You can continue with checkout using your <strong>Twitter</strong> account.","Você pode continuar com o checkout usando sua conta do <strong>Twitter</strong>."
"You can login using your Facebook account.","Você pode fazer login usando sua conta do Facebook."
"You can login using your Google account.","Você pode fazer login usando sua conta do Google."
"You can login using your Twitter account.","Você pode fazer login usando sua conta do Twitter."
"You can register using your Facebook account.","Você pode se cadastrar usando sua conta do Facebook."
"You can register using your Google account.","Você pode se cadastrar usando sua conta do Google."
"You can register using your Twitter account.","Você pode se cadastrar usando sua conta do Twitter."
"You have successfully disconnected your Facebook account from our store account.","Você desconectou sua conta do Facebook da conta da nossa loja com sucesso."
"You have successfully disconnected your Google account from our store account.","Você desconectou sua conta do Google da conta da nossa loja com sucesso."
"You have successfully disconnected your Twitter account from our store account.","Você desconectou sua conta do Twitter da conta da nossa loja com sucesso."
"You have successfully logged in using your Facebook account.","Você se conectou com sucesso usando sua conta do Facebook."
"You have successfully logged in using your Google account.","Você se conectou com sucesso usando sua conta do Google."
"You have successfully logged in using your Twitter account.","Você se conectou com sucesso usando sua conta do Twitter."
"Your Facebook account is already connected to one of our store accounts.","Sua conta do Facebook já está conectada a uma das contas de nossa loja."
"Your Facebook account is now connected to your new user account at our store. Now you can login using our Facebook Connect button or using store account credentials you will receive to your email address.","Sua conta do Facebook agora está conectada à sua nova conta de usuário em nossa loja. Agora você pode fazer login usando o botão Facebook Connect ou usando as credenciais que foram enviadas para seu endereço de e-mail."
"Your Facebook account is now connected to your store account. You can now login using our Facebook Connect button or using store account credentials you will receive to your email address.","Sua conta do Facebook agora está conectada à sua conta da loja. Agora você pode fazer login usando o botão Facebook Connect ou usando as credenciais que foram enviadas para seu endereço de e-mail."
"Your Google account is already connected to one of our store accounts.","Sua conta do Google já está conectada a uma das contas de nossa loja."
"Your Google account is now connected to your new user account at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address.","Sua conta do Facebook agora está conectada à sua nova conta de usuário em nossa loja. Agora você pode fazer login usando o botão Google Connect ou usando as credenciais que foram enviadas para seu endereço de e-mail."
"Your Google account is now connected to your store account. You can now login using our Google Connect button or using store account credentials you will receive to your email address.","Sua conta do Google agora está conectada à sua conta da loja. Agora você pode fazer login usando o botão Google Connect ou usando as credenciais que foram enviadas para seu endereço de e-mail."
"Your Twitter account is already connected to one of our store accounts.","Sua conta do Twitter já está conectada a uma das contas de nossa loja."
"Your Twitter account is now connected to your new user account at our store. Now you can login using our Twitter Connect button.","Sua conta do Twitter agora está conectada à sua nova conta de usuário em nossa loja. Agora você pode fazer login usando o botão Twitter Connect."
